month,total_passengers,month_name,per_capita_ridership,gas_price,percent_change,avg_temp,total_precip
2022-01,61040332,January,3.853337373507818,,,42.5,7.3
2022-02,63443256,February,4.005028502168438,,,44.99,6.01
2022-03,74738772,March,4.718088744957673,,,41.56,2.38
2022-04,71808241,April,4.533090985991958,,,55.5,2.29
2022-05,77604746,May,4.899011167294788,,,62.7,0.79
2022-06,75487693,June,4.765366424887475,,,71.52,1.25
2022-07,62299224,July,3.932808363161184,,,75.72,2.89
2022-08,67385807,August,4.2539127827333045,,,78.3,2.58
2022-09,74674312,September,4.714019531718527,,,71.15,1.32
2022-10,89331529,October,5.639296315234614,,,62.69,1.11
2022-11,85124266,November,5.373701367977829,,,58.08,1.58
2022-12,87866824,December,5.546832818842364,,,52.38,2.0
